document,date,datetype,location
PN0371,1905-07,instance,N/A
PN0381,1906-01,instance,N/A
PN0382,1906-01,instance,N/A
PN0383,1906-01,instance,N/A
PN0384,1906-02,instance,N/A
PN0385,1906.01%1906.02,fromTo,N/A
PN0388,1906.01%1906.02,fromTo,N/A
PN0394,1906-03,instance,N/A
PN0396,1906-03,instance,N/A
PN0397,1906-04,instance,N/A
PN0400,1906-05,instance,N/A
PN0401,1906-05,instance,N/A
PN0402,1906-05,instance,N/A
PN0403,1906.05%1906.06,fromTo,N/A
PN0405,1906-06,instance,N/A
PN0407,1906-07,instance,N/A
PN0413,1906-09,instance,N/A
PN0416,1906-10,instance,N/A
PN0419,1906-11,instance,N/A
PN0420,1905-12,instance,N/A
PN0422,1906-12,instance,N/A
PN0423,1906-12,instance,N/A
PN0424,1906-12,instance,N/A
PN0426,1906-12,instance,N/A
PN0429,1907-01,instance,N/A
PN0431,1907-01,instance,N/A
PN0432,1907-01,instance,N/A
PN0434,1907-03,instance,N/A
PN0435,1907-03,instance,N/A
PN0437,1907-04,instance,N/A
PN0439,1907-04,instance,N/A
PN0440,1907-04,instance,N/A
PN0447,1907-08,instance,N/A
PN0476,1908-05,instance,N/A
PN0477,1908-06,instance,N/A
PN0481,1908-08,instance,N/A
PN0483,1908.08%1908.09,fromTo,N/A
PN0485,1908-09,instance,N/A
PN0486,1908-10,instance,N/A
PN0487,1908-10,instance,N/A
PN0488,1908-10,instance,N/A
PN0497,1908-12,instance,N/A
PN0499,1908.11%1908.12,fromTo,N/A
PN0502,1907-10,instance,N/A
PN0506,1908-12,instance,N/A
PN0508,1908-12,instance,N/A
PN0515,1909-01,instance,N/A
PN0516,1909-01,instance,N/A
PN0517,1909-01,instance,N/A
PN0518,1909.01.31%1909.02.01,fromTo,N/A
PN0520,1909-02,instance,N/A
PN0526,1909-05,instance,N/A
PN0540,1910-03,instance,N/A
PN0553,1911-02,instance,N/A
PN0556,1911-09,instance,N/A
PN0567,1912-01,instance,N/A
PN0568,1912-01,instance,N/A
PN0569,1912-01,instance,N/A
PN0572,1912-05,instance,N/A
PN0579,1912,instance,N/A
PN0583,1912.12.26%1912.12.27,fromTo,N/A
PN0584,1913-02,instance,N/A
PN0590,1913-11,instance,N/A
PN0591,1913-12,instance,N/A
PN0592,1913-12,instance,N/A
PN0593,1914-02,instance,N/A
PN0597,1914-09,instance,N/A
PN0599,1914-12,instance,N/A
PN0600,1915-01,instance,N/A
PN0605,1915-01,instance,N/A
PN0606,1915-06,instance,N/A
PN0607,1915-06,instance,N/A
PN0610,1916.05%1916.06,fromTo,N/A
PN0611,1917-01,instance,N/A
PN0615,1920-05,instance,N/A
PN0616,1920-07,instance,N/A
PN0618,1920-08,instance,N/A
PN0620,1922.01%1922.02,fromTo,N/A
PN0625,1922-08,instance,N/A
PN0630,1923-02,instance,N/A
PN0634,1923-11,instance,N/A
PN0636,1924-12,instance,N/A
PN0643,1926-01,instance,N/A
PN0649,1926-11,instance,N/A
PN0654,1927-02,instance,N/A
PN0658,1927-12,instance,N/A
PN0659,1927-12,instance,N/A
PN0661,1927.12%1928.01,fromTo,N/A
PN0665,1928.04%1928.05,fromTo,N/A
PN0667,1928-06,instance,N/A
PN0671,1928-12,instance,N/A
PN0672,1929-02,instance,N/A
PN0674,1929-04,instance,N/A
PN0675,1929-05,instance,N/A
PN0676,1929-06,instance,N/A
PN0677,1929-06,instance,N/A
PN0679,1929-07,instance,N/A
PN0680,1929-07,instance,N/A
PN0682,1929-11,instance,N/A
PN0688,1931-10,instance,N/A
PN0690,1932-01,instance,N/A
PN0709,N/A,N/A,København
PN0710,N/A,N/A,København
PN0711,N/A,N/A,København
PN0712,N/A,N/A,København
PN0717,N/A,N/A,København
PN0723,N/A,N/A,København
PN0726,N/A,N/A,København
PN0737,N/A,N/A,Paris
PN0742,N/A,N/A,Paris
PN0743,N/A,N/A,Verdun
PN0753,1909-04,instance,N/A
PN0756,N/A,N/A,Oslo
PN0760,N/A,N/A,Oslo
PN0761,1906-04,instance,N/A
PN0763,1913-12,instance,N/A
PN0765,1904-02,instance,N/A
PN0766,1903-07,instance,Åsgårdstrand
PN0767,1903-07,instance,Åsgårdstrand
PN0769,1925-04,instance,N/A
PN0771,1890-12-12,instance,Le Havre
PN0772,1891-01-26,instance,Nice
PN0773,N/A,N/A,Oslo
PN0774,1892-07-09,instance,Åsgårdstrand
PN0776,N/A,N/A,København
PN0779,1895.05%1895.06,fromTo,N/A
PN0785,1877-11-12,instance,N/A
PN0795,1891-11-24,instance,N/A
PN0812,1928-12,instance,N/A
PN0842,1893-06-09,instance,N/A
PN0850,1912-05,instance,N/A
PN0852,1907-02,instance,N/A
PN0853,1918.05%1918.06,fromTo,N/A
PN0858,1884-09-30,instance,N/A
PN0859,1885-03-11,instance,N/A
PN0860,1885-03-11,instance,N/A
PN0861,1885-04-03,instance,N/A
PN0862,1885-04-06,instance,N/A
PN0863,1885-08-02,instance,N/A
PN0867,1884-10,instance,N/A
PN0868,1883-12,instance,N/A
PN0871,1916,instance,N/A
PN0876,1911.03%1911.04,fromTo,N/A
PN0895,1894-07-22,instance,N/A
PN0898,1897-11-30,instance,N/A
PN0899,1906,instance,N/A
PN0900,1906-12,instance,N/A
PN0901,1907,instance,N/A
PN0902,1906-12,instance,N/A
PN0904,N/A,N/A,Åsgårdstrand
PN0908,1912-12,instance,N/A
PN0909,1890-12-22,instance,Le Havre
PN0915,1927-02,instance,N/A
PN0924,1903-05,instance,N/A
PN0937,1905-12,instance,N/A
PN0938,1905-02,instance,N/A
PN0941,1904-01,instance,N/A
PN0958,1905-08,instance,N/A
PN0959,1905-08,instance,N/A
PN0960,1905-12,instance,N/A
PN0961,1905,instance,N/A
PN0962,1905-08,instance,N/A
PN0966,1905-08,instance,N/A
PN0986,1926-11,instance,N/A
PN0989,1926-12,instance,N/A
PN0999,1897-08-02,instance,N/A
PN1000,1897-07-06,instance,N/A
PN1001,1897-03-25,instance,N/A
PN1002,1897-01-30,instance,N/A
PN1003,1896-10-29,instance,N/A
PN1005,1899-06-24,instance,N/A
PN1006,1903-05,instance,N/A
PN1010,1903-09,instance,N/A
PN1011,1903,instance,N/A
PN1015,1903,instance,N/A
PN1016,1903,instance,N/A
PN1017,1903,instance,N/A
PN1018,1903,instance,N/A
PN1019,1903,instance,N/A
PN1023,1906-01,instance,N/A
PN1027,1906-01,instance,N/A
PN1028,1906-06,instance,N/A
PN1036,1910-04,instance,N/A
PN1040,1898-06-13,instance,N/A
PN1047,11-11-07,instance,N/A
PN1059,1896-09-30,instance,N/A
PN1068,1904-01,instance,N/A
PN1069,1889-12-27,instance,N/A
PN1070,1884-04-15,instance,N/A
PN1071,1891-03-24,instance,N/A
PN1072,1889-04-04,instance,N/A
PN1073,1890-10-21,instance,N/A
PN1074,1891-01-22,instance,N/A
PN1080,1922-05,instance,N/A
PN1085,1922.04%1922.05,fromTo,N/A
PN1094,1931-06,instance,N/A
PN1096,1931-10,instance,N/A
PN1108,1927-10,instance,N/A
PN1109,1924-12,instance,N/A
PN1116,1888-05-24,instance,N/A
PN1127,1911-08,instance,N/A
PN1128,1917-08,instance,N/A
PN1134,N/A,N/A,Oslo
PN1140,1929-02,instance,N/A
PN1145,1905-07,instance,N/A
PN1147,1905-12,instance,N/A
PN1148,1906-04,instance,N/A
PN1153,1906-09,instance,N/A
PN1154,1906-10,instance,N/A
PN1155,1906.11%1906.12,fromTo,N/A
PN1161,1907-08,instance,N/A
PN1162,1907-08,instance,N/A
PN1164,1907-08,instance,N/A
PN1169,1907-10,instance,N/A
PN1173,1907.10%1907.11,fromTo,N/A
PN1174,1907-11,instance,N/A
PN1183,1908-10,instance,N/A
PN1184,1908-10,instance,N/A
PN1188,1912-03,instance,N/A
PN1191,1922%1922,fromTo,N/A
PN1200,1907.01%1907.02,fromTo,N/A
PN1206,1909-04,instance,N/A
PN1208,1909-10,instance,N/A
PN1211,1913-11,instance,N/A
PN1217,1917%1917,fromTo,N/A
PN1237,N/A,N/A,Oslo
PN1238,1909-02,instance,N/A
PN1239,1928-10,instance,N/A
PN1240,1892-01,instance,N/A
PN1242,N/A,N/A,Hvitsten
PN1253,N/A,N/A,Oslo
PN1255,1913-01,instance,N/A
PN1259,1903-06,instance,N/A
PN1260,1903-07,instance,N/A
PN1261,1903,instance,N/A
PN1291,1902-04-29,instance,N/A
PN1293,1894-07-01,instance,N/A
PN1294,1896-02-28,instance,N/A
PN1308,1895-12-31,instance,N/A
PN1331,1906,instance,N/A
PN1332,1908,instance,N/A
PN1338,1907-09,instance,N/A
PN1339,1929-02,instance,N/A
PN1340,1929-04,instance,N/A
PN1342,1923–1924,instance,N/A
PN1349,1912-11,instance,N/A
PN1350,1912.12%1913.01,fromTo,N/A
PN1351,1912.10.14%1912.10.15,fromTo,N/A
PN1353,1918-04,instance,N/A
PN1355,1911.02%1911.03,fromTo,N/A
PN1356,1918-04,instance,N/A
PN1357,1912-12,instance,N/A
PN1364,1917-06,instance,N/A
PN1367,1906-10,instance,N/A
PN1369,1910-12,instance,N/A
PN1376,1896-07,instance,N/A
PN1380,1909-11,instance,N/A
PN1421,1932-06,instance,N/A
PN1428,1932-06,instance,N/A
PN1429,1932-02,instance,N/A
PN1436,1922-07,instance,N/A
PN1437,1931-12,instance,N/A
PN1448,1898-03-22,instance,N/A
