document,date,datetype,location
No-MM_N1149,1932-04,instance,N/A
No-MM_N1162,N/A,N/A,Oslo
No-MM_N1163,N/A,N/A,Oslo
No-MM_N1164,N/A,N/A,Oslo
No-MM_N1165,N/A,N/A,Oslo
No-MM_N1166,N/A,N/A,Göteborg
No-MM_N1167,N/A,N/A,Oslo
No-MM_N1179,N/A,N/A,Oslo
No-MM_N1187,N/A,N/A,Åsgårdstrand
No-MM_N1198,N/A,N/A,Oslo
No-MM_N1200,N/A,N/A,Oslo
No-MM_N1201,N/A,N/A,Oslo
No-MM_N1202,N/A,N/A,Oslo
No-MM_N1217,N/A,N/A,Oslo
No-MM_N1218,N/A,N/A,Oslo
No-MM_N1226,N/A,N/A,Oslo
No-MM_N1228,N/A,N/A,Oslo
No-MM_N1229,N/A,N/A,Oslo
No-MM_N1235,N/A,N/A,Oslo
No-MM_N1253,N/A,N/A,Oslo
No-MM_N1282,N/A,N/A,Oslo
No-MM_N1299,N/A,N/A,Oslo
No-MM_N1335,1927-10,instance,N/A
No-MM_N1359,1927-11,instance,N/A
No-MM_N1383,1927-10,instance,N/A
No-MM_N1384,1924-01,instance,N/A
No-MM_N1387,1922-09,instance,N/A
No-MM_N1406,1914,instance,N/A
No-MM_N1419,N/A,N/A,Oslo
No-MM_N1421,1892-02,instance,Nice
No-MM_N1433,N/A,N/A,Oslo
No-MM_N1444,N/A,N/A,Oslo
No-MM_N1465,1929-01,instance,N/A
No-MM_N1470,1929-01,instance,N/A
No-MM_N1481,N/A,N/A,Oslo
No-MM_N1483,1930-06,instance,N/A
No-MM_N1599,N/A,N/A,Oslo
No-MM_N1600,1921-10,instance,N/A
No-MM_N1601,1921-01,instance,N/A
No-MM_N1605,N/A,N/A,Zürich
No-MM_N1612,1922-09,instance,N/A
No-MM_N1617,N/A,N/A,Oslo
No-MM_N1646,1920-04,instance,N/A
No-MM_N1649,N/A,N/A,Kragerø
No-MM_N1651,N/A,N/A,Oslo
No-MM_N1655,N/A,N/A,Kragerø
No-MM_N1657,N/A,N/A,Oslo
No-MM_N1658,N/A,N/A,Oslo
No-MM_N1659,1903-10,instance,N/A
No-MM_N1661,N/A,N/A,Warnemünde
No-MM_N1662,N/A,N/A,Warnemünde
No-MM_N1663,N/A,N/A,Warnemünde
No-MM_N1664,N/A,N/A,Oslo
No-MM_N1665,1889-03,instance,N/A
No-MM_N1666,1889-03,instance,N/A
No-MM_N1667,1889-05,instance,N/A
No-MM_N1668,1931,instance,N/A
No-MM_N1669,1902-01,instance,Berlin
No-MM_N1673,1919-12,instance,N/A
No-MM_N1674,N/A,N/A,Oslo
No-MM_N1675,1923-01,instance,N/A
No-MM_N1676,N/A,N/A,Oslo
No-MM_N1677,N/A,N/A,Oslo
No-MM_N1682,N/A,N/A,Oslo
No-MM_N1683,N/A,N/A,Åsgårdstrand
No-MM_N1684,N/A,N/A,Oslo
No-MM_N1697,1932-10,instance,N/A
No-MM_N1710,1906-10,instance,N/A
No-MM_N1715,1908-06,instance,N/A
No-MM_N1716,N/A,N/A,Oslo
No-MM_N1720,1896-08,instance,N/A
No-MM_N1721,1896,instance,N/A
No-MM_N1722,1896,instance,N/A
No-MM_N1727,1906%1906,fromTo,N/A
No-MM_N1728,1931%1931,fromTo,N/A
No-MM_N1729,1931%1931,fromTo,N/A
No-MM_N1730,1908-11,instance,N/A
No-MM_N1731,N/A,N/A,Oslo
No-MM_N1760,1908,instance,N/A
No-MM_N1761,1909-03,instance,N/A
No-MM_N1762,N/A,N/A,Oslo
No-MM_N1763,N/A,N/A,Oslo
No-MM_N1764,N/A,N/A,Oslo
No-MM_N1766,N/A,N/A,Oslo
No-MM_N1774,N/A,N/A,Oslo
No-MM_N1784,1891-01,instance,N/A
No-MM_N1790,N/A,N/A,Oslo
No-MM_N1792,N/A,N/A,Oslo
No-MM_N1797,1914-09,instance,N/A
No-MM_N1802,1906-07,instance,N/A
No-MM_N1803,1906-07,instance,N/A
No-MM_N1805,1898%1898,fromTo,N/A
No-MM_N1806,1899,instance,N/A
No-MM_N1807,1899-04,instance,N/A
No-MM_N1808,1899-04,instance,N/A
No-MM_N1809,1899-04-22,instance,Firenze
No-MM_N1810,1899,instance,N/A
No-MM_N1811,1899.04%1899.05,fromTo,N/A
No-MM_N1812,1899,instance,N/A
No-MM_N1813,1899-05-25,instance,Paris
No-MM_N1814,1899-05-25,instance,Paris
No-MM_N1815,1899-05,instance,N/A
No-MM_N1816,1899-06,instance,N/A
No-MM_N1817,1899,instance,N/A
No-MM_N1818,1899,instance,N/A
No-MM_N1819,1899,instance,N/A
No-MM_N1820,1899,instance,N/A
No-MM_N1821,1899,instance,N/A
No-MM_N1823,1899-08,instance,N/A
No-MM_N1824,1899-09,instance,N/A
No-MM_N1825,1899-10,instance,N/A
No-MM_N1826,1899,instance,N/A
No-MM_N1827,1899,instance,N/A
No-MM_N1828,1899,instance,N/A
No-MM_N1829,1899,instance,N/A
No-MM_N1831,1899.11%1899.12,fromTo,N/A
No-MM_N1832,1899,instance,N/A
No-MM_N1833,1899,instance,N/A
No-MM_N1836,1899,instance,N/A
No-MM_N1837,1899,instance,N/A
No-MM_N1838,1899,instance,N/A
No-MM_N1839,1899,instance,N/A
No-MM_N1841,1900,instance,N/A
No-MM_N1842,1900,instance,N/A
No-MM_N1843,1899,instance,N/A
No-MM_N1845,1899,instance,N/A
No-MM_N1846,1899,instance,N/A
No-MM_N1847,1899,instance,N/A
No-MM_N1848,1899,instance,N/A
No-MM_N1849,1899,instance,N/A
No-MM_N1850,1899,instance,N/A
No-MM_N1851,1899-12,instance,N/A
No-MM_N1852,1899-12-15,instance,N/A
No-MM_N1853,1899-12,instance,N/A
No-MM_N1854,1899,instance,N/A
No-MM_N1855,1899,instance,N/A
No-MM_N1856,1899,instance,N/A
No-MM_N1858,1899,instance,N/A
No-MM_N1859,1899,instance,N/A
No-MM_N1860,1899.11%1899.12,fromTo,N/A
No-MM_N1861,1899,instance,N/A
No-MM_N1862,1899%1899,fromTo,N/A
No-MM_N1863,1899,instance,N/A
No-MM_N1864,1900,instance,N/A
No-MM_N1865,1900,instance,N/A
No-MM_N1866,1900,instance,N/A
No-MM_N1867,1899,instance,N/A
No-MM_N1868,1900,instance,N/A
No-MM_N1869,1900,instance,N/A
No-MM_N1870,1900,instance,N/A
No-MM_N1871,1900,instance,N/A
No-MM_N1872,1900,instance,N/A
No-MM_N1873,1900,instance,N/A
No-MM_N1874,1900,instance,N/A
No-MM_N1875,1900,instance,N/A
No-MM_N1876,1900,instance,N/A
No-MM_N1877,1900,instance,N/A
No-MM_N1878,1900,instance,N/A
No-MM_N1879,1900,instance,N/A
No-MM_N1880,1900,instance,N/A
No-MM_N1881,1900,instance,N/A
No-MM_N1882,1900,instance,N/A
No-MM_N1883,1900,instance,N/A
No-MM_N1884,1900,instance,N/A
No-MM_N1885,1900,instance,N/A
No-MM_N1886,1900,instance,N/A
No-MM_N1887,N/A,N/A,Oslo
No-MM_N1888,N/A,N/A,Oslo
No-MM_N1890,1910-12,instance,N/A
No-MM_N1897,1911-12,instance,N/A
No-MM_N1901,1909-02,instance,N/A
No-MM_N1904,1908-05,instance,N/A
No-MM_N1905,1907%1907,fromTo,N/A
No-MM_N1906,1907,instance,N/A
No-MM_N1908,N/A,N/A,København
No-MM_N1911,1907%1907,fromTo,N/A
No-MM_N1913,1902,instance,N/A
No-MM_N1914,1902.01%1902.02,fromTo,N/A
No-MM_N1915,1902-02,instance,N/A
No-MM_N1916,1902,instance,N/A
No-MM_N1917,1902,instance,N/A
No-MM_N1918,1902,instance,N/A
No-MM_N1919,1902,instance,N/A
No-MM_N1920,1902,instance,N/A
No-MM_N1921,1889,instance,N/A
No-MM_N1922,1890-03,instance,N/A
No-MM_N1925,1895%1895,fromTo,N/A
No-MM_N1928,1907,instance,N/A
No-MM_N1929,1907-03,instance,N/A
No-MM_N1931,1908-10,instance,N/A
No-MM_N1932,1907-03,instance,N/A
No-MM_N1936,N/A,N/A,Myrdal
No-MM_N1941,1908-09,instance,N/A
No-MM_N1942,1906-08,instance,N/A
No-MM_N1943,1906.07%1906.08,fromTo,N/A
No-MM_N1944,1906.07%1906.08,fromTo,N/A
No-MM_N1945,1906-08,instance,N/A
No-MM_N1947,1908-09,instance,N/A
No-MM_N1948,1910-12,instance,N/A
No-MM_N1949,1895.05%1895.06,fromTo,N/A
No-MM_N1951,1908-09,instance,N/A
No-MM_N1952,1905,instance,N/A
No-MM_N1962,1909-03,instance,N/A
